Title,Salary,City,Country,Years,Pronouns,Race,Orientation,Education
Graphic Designer,66000,MINNEAPOLIS,USA,9,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Senior Creative Specialist,74000,MINNEAPOLIS,USA,10,SHE/HER,WHITE,STRAIGHT,ASSOCIATE
Art Director,78000,MINNEAPOLIS,USA,11,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,78000,MINNEAPOLIS,USA,15,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,80000,MINNEAPOLIS,USA,10,HE/HIM,WHITE,STRAIGHT,MASTER
Senior Designer,82500,MINNEAPOLIS,USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Brand Strategist,90000,MINNEAPOLIS,USA,12,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,105000,MINNEAPOLIS,USA,6,HE/HIM,ASIAN,STRAIGHT,HIGHSCHOOL
Art Director ,110000,MINNEAPOLIS,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead UX Designer,114000,MINNEAPOLIS,USA,8,HE/HIM,WHITE,QUEER/FLUID,COLLEGE
"President - owner, illustrator, designer ",70000,MINNEAPOLIS ,USA,11,SHE/HER,MIXED,STRAIGHT,COLLEGE
Web and UX Designer ,76000,MINNEAPOLIS ,USA,25,SHE/HER,WHITE,STRAIGHT,MASTER
Art Director ,78000,MINNEAPOLIS ,USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Creative ,80000,MINNEAPOLIS ,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior web designer ,110000,MINNEAPOLIS MN ,USA,10,SHE/HER,WHITE,STRAIGHT,MASTER
Prepress Operator,46000,"MINNEAPOLIS, MN",USA,1.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Digital Designer,59000,"MINNEAPOLIS, MN",USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Lead Designer,71000,"MINNEAPOLIS, MN",USA,5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Freelance Brand + Packaging Design,90000,"MINNEAPOLIS, MN",USA,10,SHE/HER,WHITE,STRAIGHT,MASTER
Senior Designer/Art Director,90000,"MINNEAPOLIS, MN",USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Product Designer,95000,"MINNEAPOLIS, MN",USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Sr. UX Designer,105000,"MINNEAPOLIS, MN",USA,7,SHE/HER,ASIAN,BI/PAN,COLLEGE
Creative Director,120000,"MINNEAPOLIS, MN",USA,12,HE/HIM,ASIAN,STRAIGHT,HIGHSCHOOL
Freelance,90000,"MINNEAPOLIS, MN ",USA,27,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,55000,MINNESOTA,USA,2.5,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,65000,MINNESOTA,USA,6,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Sr. Graphic Designer,72800,MINNETONKA/MN,USA,15,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,51000,MISSOURI,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer / Art Director,60000,MISSOURI,USA,20,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Product Designer,95000,MISSOURI,USA,8,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Designer / Audio Tech,32000,"MONROE, NC",USA,3,HE/HIM,MIXED,STRAIGHT,COLLEGE
Visual Designer,47000,"MORGANTOWN, WEST VIRGINIA",USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Visual designer,88000,"MORRISTOWN, NJ",USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic designer,32000,"MUSCLE SHOALS, AL",USA,5,SHE/HER,ASIAN,STRAIGHT,HIGHSCHOOL
Designer,40000,NASHVILLE,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Video Producer,43000,NASHVILLE,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Junior Graphic Designer,44000,NASHVILLE,USA,2,HE/HIM,MIXED,STRAIGHT,COLLEGE
UX/UI Designer,65000,NASHVILLE,USA,5,HE/HIM,WHITE,STRAIGHT,MASTER
Brand Manager,72000,NASHVILLE,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr. Designer,85000,NASHVILLE,USA,13,HE/HIM,WHITE,STRAIGHT,COLLEGE
Sr. Graphic Designer,90000,NASHVILLE,USA,20,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer / Marketing Coord.,40000,NASHVILLE TN,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Freelance Designer,25000,"NASHVILLE, TN",USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,42000,"NASHVILLE, TN",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,"NASHVILLE, TN",USA,5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,80000,"NASHVILLE, TN",USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer/Production Artist,30160,NE OHIO,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Assistant Professor,100000,"NEW BRUNSWICK, NJ",USA,5,SHE/HER,ASIAN,QUEER/FLUID,MASTER
communications manager,42000,NEW ENGLAND,USA,3,SHE/HER,WHITE,BI/PAN,COLLEGE
Design Director,52000,NEW ENGLAND,USA,3,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Designer,60000,NEW ENGLAND,USA,6,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Creative Director,60000,NEW ENGLAND,USA,25,HE/HIM,WHITE,STRAIGHT,MASTER
Graphic & Web Designer,45000,NEW JERSEY,USA,2,NON-BINARY,MIXED,STRAIGHT,COLLEGE
Graphic Designer,60000,NEW JERSEY,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Assistant Art Director,50000,NEW JERSEY ,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Freelance Illustrator for Music Festivals,40000,NEW ORLEANS,USA,3,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer ,33280,NEW YORK,USA,4,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Designer,36000,NEW YORK,USA,0.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,45000,NEW YORK,USA,4.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Junior Designer/animator,45000,NEW YORK,USA,2,SHE/HER,WHITE,UNDISCLOSED,COLLEGE
Assistant Designer,45200,NEW YORK,USA,2.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,47000,NEW YORK,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,50000,NEW YORK,USA,3,SHE/HER,ASIAN,BI/PAN,COLLEGE
designer,50000,NEW YORK,USA,6,SHE/HER,WHITE,GAY/LES,COLLEGE
Designer ,54000,NEW YORK,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,55000,NEW YORK,USA,3,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Junior Art Director,55000,NEW YORK,USA,1,SHE/HER,MIXED,STRAIGHT,COLLEGE
Designer,58000,NEW YORK,USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,59500,NEW YORK,USA,9,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Product Designer,60000,NEW YORK,USA,1,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Designer,60000,NEW YORK,USA,4,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Graphic Designer,60000,NEW YORK,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior designer,60000,NEW YORK,USA,0,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior designer,60000,NEW YORK,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,60000,NEW YORK,USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,63000,NEW YORK,USA,1.3,HE/HIM,LATINO/HISPANIC,GAY/LES,COLLEGE
Jr. Art Director,65000,NEW YORK,USA,8,HE/HIM,ASIAN,GAY/LES,COLLEGE
Senior Graphic Designer,65000,NEW YORK,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,65000,NEW YORK,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,65000,NEW YORK,USA,1,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Project Manager,67000,NEW YORK,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,68500,NEW YORK,USA,4,HE/HIM,WHITE,STRAIGHT,COLLEGE
Visual Designer,69000,NEW YORK,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Interactive Designer ,70000,NEW YORK,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer (Mid-level),72000,NEW YORK,USA,2,SHE/HER,ASIAN,STRAIGHT,MASTER
Interaction Designer 2,72000,NEW YORK,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,78000,NEW YORK,USA,5,SHE/HER,BLACK,STRAIGHT,COLLEGE
Brand Designer,80000,NEW YORK,USA,2.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Branding Coordinator,83000,NEW YORK,USA,8,SHE/HER,BLACK,STRAIGHT,COLLEGE
Graphic Designer,83000,NEW YORK,USA,4,SHE/HER,BLACK,STRAIGHT,COLLEGE
Product (UX/UI) Designer,84000,NEW YORK,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,85000,NEW YORK,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Ui designer,85000,NEW YORK,USA,5,HE/HIM,MIXED,STRAIGHT,COLLEGE
Designer,85000,NEW YORK,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Sr. Brand Designer,92000,NEW YORK,USA,11,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Designer,92000,NEW YORK,USA,8,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Designer,96000,NEW YORK,USA,10,NON-BINARY,ASIAN,STRAIGHT,COLLEGE
Senior Branding Designer,97000,NEW YORK,USA,6,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Art Group Manager,99000,NEW YORK,USA,14,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Sr. Designer,99000,NEW YORK,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
"Design Director, Visual Merchandising",100000,NEW YORK,USA,5,HE/HIM,ASIAN,GAY/LES,COLLEGE
Lead Designer,100000,NEW YORK,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Software Developer,103000,NEW YORK,USA,2,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Graphic Designer/Illustrator,110000,NEW YORK,USA,8,SHE/HER,LATINO/HISPANIC,BI/PAN,COLLEGE
Senior Visual Designer,110000,NEW YORK,USA,3.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,115000,NEW YORK,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Visual Designer,115000,NEW YORK,USA,5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Associate Creative Director,120000,NEW YORK,USA,15,HE/HIM,ASIAN,BI/PAN,COLLEGE
Product Design Lead,120000,NEW YORK,USA,6,HE/HIM,WHITE,STRAIGHT,COLLEGE
Lead Designer,124000,NEW YORK,USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Visual Designer,128000,NEW YORK,USA,12,HE/HIM,WHITE,GAY/LES,COLLEGE
Content Strategist,130000,NEW YORK,USA,6,SHE/HER,WHITE,BI/PAN,COLLEGE
Senior Art Director,135000,NEW YORK,USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Art Director,135000,NEW YORK,USA,30,HE/HIM,MIXED,STRAIGHT,COLLEGE
Senior Graphic Designer (permalance),150000,NEW YORK,USA,29,HE/HIM,WHITE,STRAIGHT,COLLEGE
Design lead,150000,NEW YORK,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
SVP Design,310000,NEW YORK,USA,25,HE/HIM,WHITE,STRAIGHT,COLLEGE
Junior graphic designer,45000,NEW YORK ,USA,1.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Associate Art Director ,85000,NEW YORK ,USA,23,SHE/HER,ASIAN,GAY/LES,COLLEGE
Visual Designer,120000,NEW YORK ,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
VP Design Strategy ,125000,NEW YORK ,USA,6,SHE/HER,WHITE,STRAIGHT,MASTER
Graphic Designer,44000,NEW YORK CITY,USA,2,SHE/HER,WHITE,STRAIGHT,MASTER
Graphic Designer,45000,NEW YORK CITY,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,47500,NEW YORK CITY,USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Designer ,52000,NEW YORK CITY,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic designer ,52000,NEW YORK CITY,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,52000,NEW YORK CITY,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,55000,NEW YORK CITY,USA,6,HE/HIM,WHITE,GAY/LES,COLLEGE
Junior Designer,55000,NEW YORK CITY,USA,1,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Designer,55000,NEW YORK CITY,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,57500,NEW YORK CITY,USA,2,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Junior Designer,58500,NEW YORK CITY,USA,3,SHE/HER,MIXED,BI/PAN,COLLEGE
Digital Designer,58500,NEW YORK CITY,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,59670,NEW YORK CITY,USA,3.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,60000,NEW YORK CITY,USA,4,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,60000,NEW YORK CITY,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Graphic Designer,63900,NEW YORK CITY,USA,3,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Designer,65000,NEW YORK CITY,USA,3,SHE/HER,MIXED,BI/PAN,COLLEGE
Junior Designer,65000,NEW YORK CITY,USA,5,HE/HIM,WHITE,GAY/LES,COLLEGE
Designer,65000,NEW YORK CITY,USA,2,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Associate Art Director,65000,NEW YORK CITY,USA,3,SHE/HER,BLACK,STRAIGHT,COLLEGE
Designer,65000,NEW YORK CITY,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,65000,NEW YORK CITY,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,65000,NEW YORK CITY,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,65000,NEW YORK CITY,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,67000,NEW YORK CITY,USA,7,HE/HIM,WHITE,STRAIGHT,MASTER
Graphic / UI Designer,67200,NEW YORK CITY,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Product Designer,68000,NEW YORK CITY,USA,2,SHE/HER,MIXED,BI/PAN,COLLEGE
Senior Designer,70000,NEW YORK CITY,USA,4,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Designer,70000,NEW YORK CITY,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Visual Designer,70000,NEW YORK CITY,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Design Associate,70000,NEW YORK CITY,USA,8,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer,70000,NEW YORK CITY,USA,5,SHE/HER,MIXED,STRAIGHT,COLLEGE
Graphic Designer ,70000,NEW YORK CITY,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,72000,NEW YORK CITY,USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,72500,NEW YORK CITY,USA,2,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic designer,73000,NEW YORK CITY,USA,3,SHE/HER,ASIAN,ASEXUAL,MASTER
Visual Designer,73500,NEW YORK CITY,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director ,75000,NEW YORK CITY,USA,2,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Motion Graphics Designer,75000,NEW YORK CITY,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer,77500,NEW YORK CITY,USA,6,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Digital Designer,78000,NEW YORK CITY,USA,3,SHE/HER,ASIAN,BI/PAN,COLLEGE
Designer,78000,NEW YORK CITY,USA,2,SHE/HER,ASIAN,STRAIGHT,MASTER
Senior Designer,78500,NEW YORK CITY,USA,7,SHE/HER,WHITE,BI/PAN,COLLEGE
Animator/Motion Graphics Designer,80000,NEW YORK CITY,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Product Designer,80000,NEW YORK CITY,USA,3,SHE/HER,BLACK,STRAIGHT,COLLEGE
Art Director,80000,NEW YORK CITY,USA,6,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
UI/UX Designer,82000,NEW YORK CITY,USA,5,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Integrated Designer (Mid-Level),85000,NEW YORK CITY,USA,3,HE/HIM,WHITE,BI/PAN,COLLEGE
Digital Designer,85000,NEW YORK CITY,USA,3,SHE/HER,WHITE,STRAIGHT,MASTER
Senior Designer,87500,NEW YORK CITY,USA,6,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
UX Designer,95000,NEW YORK CITY,USA,4,SHE/HER,ASIAN,BI/PAN,COLLEGE
Senior Art Director,100000,NEW YORK CITY,USA,11,SHE/HER,MIXED,GAY/LES,COLLEGE
Lead Product Designer,100000,NEW YORK CITY,USA,4.5,SHE/HER,MIXED,QUEER/FLUID,COLLEGE
Senior Motion Designer,100000,NEW YORK CITY,USA,9,HE/HIM,WHITE,STRAIGHT,COLLEGE
Sr Production Designer,108000,NEW YORK CITY,USA,15,SHE/HER,WHITE,STRAIGHT,COLLEGE
Art Director,120000,NEW YORK CITY,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Director,125000,NEW YORK CITY,USA,7,SHE/HER,LATINO/HISPANIC,QUEER/FLUID,COLLEGE
Senior UX Designer,127000,NEW YORK CITY,USA,6,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Art Supervisor,135000,NEW YORK CITY,USA,11,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,139000,NEW YORK CITY,USA,9,HE/HIM,WHITE,STRAIGHT,MASTER
Creative Director,140000,NEW YORK CITY,USA,9,SHE/HER,LATINO/HISPANIC,STRAIGHT,MASTER
Associate Creative Director,147500,NEW YORK CITY,USA,12,HE/HIM,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,150000,NEW YORK CITY,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead Experience Designer,153000,NEW YORK CITY,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr. Design Director,160000,NEW YORK CITY,USA,14,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Art Director,800000,NEW YORK CITY,USA,7,HE/HIM,BLACK,STRAIGHT,HIGHSCHOOL
Junior Designer ,45000,NEW YORK CITY ,USA,2,SHE/HER,ASIAN,BI/PAN,COLLEGE
Graphic Designer,65000,NEW YORK CITY ,USA,3,SHE/HER,LATINO/HISPANIC,STRAIGHT,COLLEGE
Graphic designer ,90000,NEW YORK CITY ,USA,4,HE/HIM,ASIAN,GAY/LES,COLLEGE
Design Associate,50000,"NEW YORK, NEW YORK",USA,0,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,60000,"NEW YORK, NEW YORK",USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Digital Deisgner,85000,"NEW YORK, NEW YORK",USA,5,SHE/HER,WHITE,STRAIGHT,MASTER
Lead Visual Designer,130000,"NEW YORK, NEW YORK",USA,7,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Graphic Designer,57500,"NEW YORK, NY",USA,15,SHE/HER,MIXED,STRAIGHT,COLLEGE
graphic designer,60000,"NEW YORK, NY",USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Designer and Animator,63000,"NEW YORK, NY",USA,3,SHE/HER,WHITE,STRAIGHT,MASTER
Senior Graphic Designer,63500,"NEW YORK, NY",USA,8,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,64000,"NEW YORK, NY",USA,17,HE/HIM,ASIAN,STRAIGHT,MASTER
Art Director,68000,"NEW YORK, NY",USA,3,SHE/HER,WHITE,BI/PAN,COLLEGE
Graphic Designer,68000,"NEW YORK, NY",USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer (mid-level),70000,"NEW YORK, NY",USA,3,SHE/HER,MIXED,STRAIGHT,COLLEGE
Designer ,70000,"NEW YORK, NY",USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Lead Designer,81000,"NEW YORK, NY",USA,9,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Graphic Designer,82500,"NEW YORK, NY",USA,9,SHE/HER,MIXED,STRAIGHT,COLLEGE
Senior Graphic Designer,85000,"NEW YORK, NY",USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Jr. UX Designer,87000,"NEW YORK, NY",USA,3.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Senior Designer,87500,"NEW YORK, NY",USA,15,HE/HIM,WHITE,STRAIGHT,COLLEGE
Product designer,93000,"NEW YORK, NY",USA,4,SHE/HER,MIXED,STRAIGHT,COLLEGE
Senior designer ,100000,"NEW YORK, NY",USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Design Director,135000,"NEW YORK, NY",USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Graphic Designer,55000,"NEWPORT, RHODE ISLAND",USA,4,SHE/HER,WHITE,STRAIGHT,COLLEGE
Director of Creative Services,67000,"NORMAN, OK",USA,19,HE/HIM,WHITE,STRAIGHT,COLLEGE
Graphic Designer/Communication Analyst,65000,NORTH CAROLINA,USA,20,HE/HIM,WHITE,STRAIGHT,CERT.
Communications Specialist-Graphic Design,36858,NORTH CHARLESTON/SOUTH CAROLINA,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Jr Graphic Designer,35000,NORTH GEORGIA,USA,-1,HE/HIM,WHITE,STRAIGHT,ASSOCIATE
Senior Art Director,55000,NORTHEAST INDIANA,USA,8,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Sr Experiential Designer,124000,NORTHERN NEW JERSEY,USA,16,HE/HIM,ASIAN,GAY/LES,COLLEGE
Senior UX designer ,100000,NORTHERN VA,USA,11,SHE/HER,WHITE,STRAIGHT,COLLEGE
"Senior Manager, Marketing & Design",83000,NORTHERN VIRGINIA,USA,14,SHE/HER,WHITE,STRAIGHT,COLLEGE
"UX/UI Designer, Associate",84500,"NORTHERN VIRGINIA / WASHINGTON, DC",USA,1.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Creative Director,42000,NW ARKANSAS,USA,12,SHE/HER,MIXED,STRAIGHT,COLLEGE
Junior Designer,60000,NY,USA,2,HE/HIM,ASIAN,STRAIGHT,MASTER
Frontend Developer,80000,NY,USA,1,SHE/HER,BLACK,STRAIGHT,COLLEGE
Graphic Designer,41500,NYC,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Junior Digital Designer,42000,NYC,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
Junior Designer,45000,NYC,USA,1,SHE/HER,WHITE,STRAIGHT,COLLEGE
designer,47000,NYC,USA,3,HE/HIM,WHITE,STRAIGHT,COLLEGE
Type designer,54000,NYC,USA,1,SHE/HER,ASIAN,BI/PAN,COLLEGE
Motion Graphics Designer,55000,NYC,USA,3,SHE/HER,LATINO/HISPANIC,BI/PAN,COLLEGE
Product designer,55000,NYC,USA,1,SHE/HER,WHITE,BI/PAN,COLLEGE
Designer,55000,NYC,USA,6,SHE/HER,WHITE,STRAIGHT,MASTER
Assistant Art Director,56000,NYC,USA,10,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,58500,NYC,USA,5,SHE/HER,ASIAN,BI/PAN,COLLEGE
Designer,58500,NYC,USA,1.5,SHE/HER,WHITE,STRAIGHT,COLLEGE
UI/UX Designer,60000,NYC,USA,2,NON-BINARY,WHITE,QUEER/FLUID,COLLEGE
Product Designer,60000,NYC,USA,1,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Designer (Junior Level),65000,NYC,USA,2,NON-BINARY,ASIAN,QUEER/FLUID,COLLEGE
Marketing designer,67500,NYC,USA,3,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Jr Designer,69000,NYC,USA,3,SHE/HER,MIXED,STRAIGHT,COLLEGE
Senior Designer,72000,NYC,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Digital Designer,80000,NYC,USA,3.5,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Design Consultant,80000,NYC,USA,0,SHE/HER,WHITE,STRAIGHT,COLLEGE
Partner/Co-founder,80000,NYC,USA,7,HE/HIM,WHITE,STRAIGHT,MASTER
Motion designer ,84000,NYC,USA,5,SHE/HER,WHITE,BI/PAN,COLLEGE
Art Director,85000,NYC,USA,8,SHE/HER,BLACK,QUEER/FLUID,COLLEGE
Brand Designer,85000,NYC,USA,7,SHE/HER,MIXED,STRAIGHT,COLLEGE
UX/UI Designer,85000,NYC,USA,2,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Designer,85000,NYC,USA,5,SHE/HER,WHITE,STRAIGHT,COLLEGE
Product Designer,86000,NYC,USA,1,SHE/HER,ASIAN,GAY/LES,COLLEGE
Senior Designer,93000,NYC,USA,6,SHE/HER,WHITE,STRAIGHT,COLLEGE
Ui designer ,95000,NYC,USA,4,SHE/HER,WHITE,STRAIGHT,MASTER
Senior Digital Designer,100000,NYC,USA,3,SHE/HER,WHITE,STRAIGHT,COLLEGE
Sr Designer ,110000,NYC,USA,4,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Product Designer,110000,NYC,USA,11,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Art Director,113000,NYC,USA,26,HE/HIM,ASIAN,STRAIGHT,COLLEGE
Senior Product Designer,115000,NYC,USA,7,SHE/HER,WHITE,STRAIGHT,COLLEGE
Designer,122000,NYC,USA,4.5,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director,127000,NYC,USA,9,SHE/HER,WHITE,STRAIGHT,COLLEGE
Senior Product Designer,130000,NYC,USA,7,SHE/HER,WHITE,QUEER/FLUID,COLLEGE
Director of Product Design,132000,NYC,USA,10,SHE/HER,ASIAN,STRAIGHT,COLLEGE
Head of design,185000,NYC,USA,15,HE/HIM,WHITE,GAY/LES,HIGHSCHOOL
Design Director,200000,NYC,USA,13,HE/HIM,WHITE,STRAIGHT,COLLEGE
Art Director/Designer,110000,NYC/NJ,USA,6,SHE/HER,MIXED,BI/PAN,COLLEGE
Graphic Designer,42500,"OAK BROOK, IL",USA,5,HE/HIM,WHITE,STRAIGHT,COLLEGE
